word	partOfSpeech	English	source_url
uno	num	one	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
no	adverb	no	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
con	preposition	with	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
todo	det	all; every	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
entre	preposition	between	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
sin	preposition	without	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
él	pronoun	he, him	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
porque	conjunction	because	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
desde	preposition	since (from a specified time in the past)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
nuestro	pron	ours	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
donde	pronoun	because	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
alguno	pron	someone	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
ese	pronoun	that	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
aunque	conjunction	though, although	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
social	adjective	social	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
durante	preposition	during, in, over	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
mí	pronoun	me	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
control	noun	control	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
aquel	pron	alternative spelling of aquél	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
quien	pronoun	who	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
animal	noun	animal	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
soler	verb	to be accustomed to doing something	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
sino	conjunction	destiny, fate, lot	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
mosca	noun	fly (any insect of the order Diptera)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
embargo	noun	embargo	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
tras	preposition	after, following	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
usted	pronoun	second person formal	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
natural	adjective	natural (of or relating to nature)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
quién	pronoun	who?, whom?	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
idea	noun	idea	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
ello	pronoun	(Freud's concept of) id	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
ante	preposition	elk	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
mirar	verb	to look at (to try to see, to pay attention to with one’s	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
ninguno	det	no; none	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
habitual	adjective	beans	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
crisis	noun	crisis	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
célula	noun	cell (the basic unit of a living organism)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
cuyo	pronoun	whose	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
similar	adjective	similar	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
cuando	pronoun	when	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
plácido	adjective	placid	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
suyo	pron	his, hers, its	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
plan	noun	plan	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
material	noun	material	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
